"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
6,5.98093128204346,667.108276367187
6.28569451673799,6.29973077774048,672.464294433594
6.58499259295834,6.57765865325928,630.527404785156
6.89854197238641,6.91673994064331,657.248779296875
7.22702124155269,7.24785709381104,635.411743164062
7.57114129839612,7.59324169158936,535.6044921875
7.93164689079617,7.95196008682251,574.623962402344
8.30931822836324,8.32738018035889,521.262268066406
8.70497267097564,8.74251461029053,589.070556640625
9.1194664977176,9.13832092285156,601.155700683594
9.55369676004655,9.57266235351562,513.400024414062
10.0086032232003,9.89139270782471,515.906616210938
10.4851704000461,10.5044651031494,615.646545410156
10.9844296817722,11.0205602645874,551.027160644531
11.5074615700349,11.5375652313232,535.195556640625
12.0553980153903,12.0771245956421,535.096496582031
12.6294248670721,12.6238832473755,642.401123046875
13.2307844394183,13.2676868438721,569.328308105469
13.860778200499,13.7513933181763,561.014770507812
14.5207695887663,14.5237760543823,508.722900390625
15.2121869638207,15.052659034729,474.595672607422
15.9365266976801,15.9681720733643,496.359405517578
16.6953564132427,16.7309589385986,481.569610595703
17.490318376951,17.4930610656738,560.134765625
18.3231330530005,18.3623485565186,484.236633300781
19.1956028267843,19.2244434356689,547.644714355469
20.109615905633,20.1184120178223,518.263671875
21.0671504052908,21.0381202697754,557.092895507812
22.0702786309718,22.1030960083008,600.978881835937
23.1211715622632,23.1509704589844,572.355041503906
24.2221035515793,24.1308517456055,630.151489257812
25.375457246337,25.3792858123779,554.905029296875
26.5837287455033,26.6080284118652,520.619445800781
27.8495330016766,27.8677787780762,603.522644042969
29.1756094803921,29.1627540588379,589.100524902344
30.5648280888982,30.5719013214111,574.259765625
32.0201953872378,31.9991474151611,501.222351074219
33.5448610950733,33.2237434387207,513.941650390625
35.14212490834,35.1401329040527,552.341064453125
36.815443640479,36.755672454834,446.717041015625
38.5684387037059,38.4652786254883,473.928100585937
40.4049039465049,40.3363838195801,569.271240234375
42.3288138643118,42.1806297302246,535.745178222656
44.3443322011546,44.2281265258789,527.8720703125
46.4558209608676,46.2864532470703,545.071105957031
48.6678498473812,NaN,576.568725585937
50.9852061545186,NaN,481.928070068359
53.4129051267022,4.93146276473999,552.530883789062
55.9562008129931,56.3983459472656,513.719482421875
58.6205974379534,58.9849166870117,554.933349609375
61.4118613139415,61.5353240966797,545.525573730469
64.3360333206193,64.367546081543,462.545013427734
67.3994419786816,67.5531845092773,489.918121337891
70.6087171460998,70.7229614257813,542.871032714844
73.9708043665239,74.1824264526367,576.806274414062
77.4929799008929,77.616828918457,560.184875488281
81.1828664747883,81.2547149658203,555.861267089844
85.0484497756082,85.1695556640625,535.741882324219
89.0980957352678,89.2473449707031,499.128631591797
93.3405686358281,93.2919921875,465.072814941406
97.7850500772385,97.8367233276367,606.132263183594
102.441158848241,102.422752380371,812.323608398437
107.318971743446,108.155960083008,731.439575195312
112.429045371623,112.018028259277,940.243103027344
117.782439002416,118.211921691895,1030.23742675781
123.390738500919,122.959228515625,492.492858886719
129.266081401913,128.833633422852,517.393920898437
135.421183178035,134.852554321289,467.450592041016
141.869364758724,141.52458190918,580.04833984375
148.624581359502,148.210678100586,512.736694335937
155.701452683984,155.500930786133,859.585205078125
163.115294563976,162.875305175781,379.242462158203
170.882152106148,170.693618774414,770.260070800781
179.018834417,178.966613769531,686.644653320312
187.542950981294,187.449523925781,739.187683105469
196.472949772663,196.528457641602,828.432861328125
205.828157178895,205.597351074219,786.395812988281
215.628819828277,215.530807495117,441.909790039062
225.896148407548,226.092971801758,493.407897949219
236.652363566259,236.566299438477,838.793029785156
247.92074400692,247.807754516602,492.341064453125
259.725676864983,259.941650390625,835.106140136719
272.092710487714,271.945098876953,883.6083984375
285.048609726167,285.120452880859,671.803283691406
298.621413859926,298.807739257812,542.843933105469
312.84049727998,312.875610351563,688.751586914063
327.73663306106,327.705047607422,810.146728515625
343.342059561012,343.349090576172,516.316650390625
359.690550191364,359.739196777344,764.078063964844
376.817486510054,376.780883789062,987.682312011719
394.75993479454,394.915954589844,615.875549316406
413.556726260981,413.577972412109,490.310333251953
433.248541103127,433.198822021484,788.336608886719
453.877996532776,453.801696777344,652.780883789062
475.489739012349,475.444061279297,691.861938476562
498.130540879183,498.154724121094,493.972412109375
521.849401570669,521.816345214844,791.897155761719
546.697653669292,546.581359863281,614.79736328125
572.729073997099,572.759155273437,467.068786621094
599.999999999998,600.040283203125,688.544250488281

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)","Ch-2 (dBr)"
6,-0.343869365833895,-38.171172627582
6.28569451673799,-0.377789575894596,-38.1355113578226
6.58499259295834,-0.326662155455211,-38.1400970603173
6.89854197238641,-0.371981146763133,-38.128785939752
7.22702124155269,-0.381507845570994,-38.1042094295795
7.57114129839612,-0.364600393482901,-37.9225370597573
7.93164689079617,-0.367402125544742,-37.9097985956585
8.30931822836324,-0.37075332851829,-37.9398487325003
8.70497267097564,-0.31192206426005,-37.9147019866447
9.1194664977176,-0.375202388562601,-37.9284019629528
9.55369676004655,-0.398378380517272,-37.9736603660255
10.0086032232003,-0.465915017655983,-37.9150461738099
10.4851704000461,-0.43835553029266,-38.0928258557029
10.9844296817722,-0.433318682139384,-38.1068796141914
11.5074615700349,-0.485715029765422,-38.1132224933727
12.0553980153903,-0.526963928125389,-38.107632116345
12.6294248670721,-0.535779359527157,-38.1128182591861
13.2307844394183,-0.610272320098854,-38.1113535930947
13.860778200499,-0.712595217476338,-38.0810276287357
