"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
6,57.220458984375,57.220458984375
6.28569451673799,57.220458984375,57.220458984375
6.58499259295834,57.220458984375,57.220458984375
6.89854197238641,57.220458984375,57.220458984375
7.22702124155269,57.220458984375,57.220458984375
7.57114129839612,57.220458984375,57.220458984375
7.93164689079617,57.220458984375,57.220458984375
8.30931822836324,57.220458984375,57.220458984375
8.70497267097564,57.220458984375,57.220458984375
9.1194664977176,57.220458984375,57.220458984375
9.55369676004655,57.220458984375,57.220458984375
10.0086032232003,57.220458984375,57.220458984375
10.4851704000461,57.220458984375,57.220458984375
10.9844296817722,57.220458984375,57.220458984375
11.5074615700349,57.220458984375,57.220458984375
12.0553980153903,57.220458984375,57.220458984375
12.6294248670721,57.220458984375,57.220458984375
13.2307844394183,57.220458984375,57.220458984375
13.860778200499,57.220458984375,57.220458984375
14.5207695887663,57.220458984375,57.220458984375
15.2121869638207,57.220458984375,57.220458984375
15.9365266976801,57.220458984375,57.220458984375
16.6953564132427,57.220458984375,57.220458984375
17.490318376951,57.220458984375,57.220458984375
18.3231330530005,57.220458984375,57.220458984375
19.1956028267843,57.220458984375,57.220458984375
20.109615905633,57.220458984375,57.220458984375
21.0671504052908,57.220458984375,57.220458984375
22.0702786309718,57.220458984375,57.220458984375
23.1211715622632,57.220458984375,57.220458984375
24.2221035515793,57.220458984375,57.220458984375
25.375457246337,57.220458984375,57.220458984375
26.5837287455033,57.220458984375,57.220458984375
27.8495330016766,57.220458984375,57.220458984375
29.1756094803921,57.220458984375,57.220458984375
30.5648280888982,57.220458984375,57.220458984375
32.0201953872378,57.220458984375,57.220458984375
33.5448610950733,57.220458984375,57.220458984375
35.14212490834,57.220458984375,57.220458984375
36.815443640479,57.220458984375,57.220458984375
38.5684387037059,57.220458984375,57.220458984375
40.4049039465049,57.220458984375,57.220458984375
42.3288138643118,57.220458984375,57.220458984375
44.3443322011546,57.220458984375,57.220458984375
46.4558209608676,57.220458984375,57.220458984375
48.6678498473812,57.220458984375,57.220458984375
50.9852061545186,57.220458984375,57.220458984375
53.4129051267022,57.220458984375,57.220458984375
55.9562008129931,57.220458984375,57.220458984375
58.6205974379534,57.220458984375,57.220458984375
61.4118613139415,57.220458984375,57.220458984375
64.3360333206193,57.220458984375,57.220458984375
67.3994419786816,76.2939453125,76.2939453125
70.6087171460998,76.2939453125,76.2939453125
73.9708043665239,76.2939453125,76.2939453125
77.4929799008929,76.2939453125,76.2939453125
81.1828664747883,76.2939453125,76.2939453125
85.0484497756082,76.2939453125,76.2939453125
89.0980957352678,95.367431640625,95.367431640625
93.3405686358281,95.367431640625,95.367431640625
97.7850500772385,95.367431640625,95.367431640625
102.441158848241,95.367431640625,95.367431640625
107.318971743446,114.44091796875,114.44091796875
112.429045371623,114.44091796875,114.44091796875
117.782439002416,114.44091796875,114.44091796875
123.390738500919,114.44091796875,114.44091796875
129.266081401913,133.514404296875,133.514404296875
135.421183178035,133.514404296875,133.514404296875
141.869364758724,133.514404296875,133.514404296875
148.624581359502,152.587890625,152.587890625
155.701452683984,152.587890625,152.587890625
163.115294563976,171.661376953125,171.661376953125
170.882152106148,171.661376953125,171.661376953125
179.018834417,171.661376953125,171.661376953125
187.542950981294,190.73486328125,190.73486328125
196.472949772663,190.73486328125,190.73486328125
205.828157178895,209.808349609375,209.808349609375
215.628819828277,209.808349609375,209.808349609375
225.896148407548,228.8818359375,228.8818359375
236.652363566259,228.8818359375,228.8818359375
247.92074400692,247.955322265625,247.955322265625
259.725676864983,267.02880859375,267.02880859375
272.092710487714,267.02880859375,267.02880859375
285.048609726167,286.102294921875,286.102294921875
298.621413859926,305.17578125,305.17578125
312.84049727998,305.17578125,305.17578125
327.73663306106,324.249267578125,324.249267578125
343.342059561012,343.32275390625,343.32275390625
359.690550191364,362.396240234375,362.396240234375
376.817486510054,381.4697265625,381.4697265625
394.75993479454,400.543212890625,400.543212890625
413.556726260981,419.61669921875,419.61669921875
433.248541103127,438.690185546875,438.690185546875
453.877996532776,457.763671875,457.763671875
475.489739012349,476.837158203125,476.837158203125
498.130540879183,495.91064453125,495.91064453125
521.849401570669,514.984130859375,514.984130859375
546.697653669292,553.131103515625,553.131103515625
572.729073997099,572.20458984375,572.20458984375
599.999999999998,591.278076171875,591.278076171875

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)","Ch-2 (deg)"
6,8.48514938354492,0
6.28569451673799,9.027099609375,0
6.58499259295834,3.26271057128906,0
6.89854197238641,-13.2071266174316,0
7.22702124155269,-2.38288116455078,0
7.57114129839612,-16.324462890625,0
7.93164689079617,-10.1705322265625,0
8.30931822836324,-11.8900146484375,0
8.70497267097564,-15.6055879592896,0
9.1194664977176,-7.62236022949219,0
9.55369676004655,-14.4206695556641,0
10.0086032232003,-11.2550964355469,0
10.4851704000461,-19.9017639160156,0
10.9844296817722,-17.2877407073975,0
11.5074615700349,-13.0085983276367,0
12.0553980153903,-12.042106628418,0
12.6294248670721,-15.2554740905762,0
13.2307844394183,-24.0984802246094,0
13.860778200499,-23.1397094726563,0
14.5207695887663,-23.8137741088867,0
15.2121869638207,-17.4518280029297,0
15.9365266976801,-21.3449249267578,0
16.6953564132427,-23.749755859375,0
17.490318376951,-28.2548065185547,0
18.3231330530005,-32.4602584838867,0
19.1956028267843,-30.1766624450684,0
20.109615905633,-31.1807556152344,0
21.0671504052908,-36.8809623718262,0
22.0702786309718,-36.8576583862305,0
23.1211715622632,-39.9656143188477,0
