"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,24.9998607635498
22.704451583391,35.31396484375
25.7746060851273,54.1297225952148
29.2599147970374,56.0874366760254
33.2165159421741,56.2161026000977
37.7081388989014,52.8221855163574
42.8071306964945,60.4049072265625
48.5956213161225,80.2008972167969
55.1668465668354,70.2125701904297
62.6266498442538,84.3065948486328
71.0951869609421,90.7057189941406
80.7088615083421,95.3827590942383
91.6225219233381,108.50325012207
104.011955647831,104.014350891113
118.076720554999,137.761291503906
134.043359248328,154.662246704102
152.169048006438,152.167785644531
172.745739147644,182.909484863281
196.104863535738,205.910293579102
222.622668970734,232.742462158203
252.726280450565,262.832122802734
286.900579917018,286.90087890625
325.696016298637,335.568786621094
369.737471647787,379.464385986328
419.734326179629,449.015289306641
476.491884331632,515.389953613281
540.924345884314,550.582763671875
614.069531070393,614.067016601562
697.105596851168,697.107543945312
791.370013610912,801.02294921875
898.381107928822,898.383239746094
1019.86251842016,1019.86566162109
1157.77095855928,1167.44396972656
1314.32773366327,1314.32312011719
1492.05451968329,1492.04626464844
1693.81398009645,1693.81872558594
1922.85587511853,1922.84631347656
2182.86940592338,2202.02905273437
2478.04263698265,2478.06176757812
2813.12995364755,2813.11450195312
3193.52864151889,3193.50708007812
3625.36582107691,3634.89404296875
4115.59713783606,4105.947265625
4672.11879763707,4672.05517578125
5303.8947516401,5294.4052734375
6021.10107960072,5992.4814453125
6835.28989702489,6787.23388671875
7759.57542627217,7701.9443359375
8808.84522867335,47.8817253112793
9999.99999999995,7267.05615234375

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,0.851320538019098
22.704451583391,0.802916683076071
25.7746060851273,0.784923046491775
29.2599147970374,0.792609741749242
33.2165159421741,0.790659159810339
37.7081388989014,0.828059715060853
42.8071306964945,0.823944744853208
48.5956213161225,0.848897318535756
55.1668465668354,0.822300224965068
62.6266498442538,0.800413128592914
71.0951869609421,0.825036788093169
80.7088615083421,0.802237284762565
91.6225219233381,0.789857498342758
104.011955647831,0.828184357240493
118.076720554999,0.807869637611365
134.043359248328,0.791667546417406
152.169048006438,0.79134723891789
172.745739147644,0.760145449895583
196.104863535738,0.772984457587105
222.622668970734,0.776291129169372
252.726280450565,0.74555643289473
286.900579917018,0.71966435216775
325.696016298637,0.685344017615038
369.737471647787,0.672909870707415
419.734326179629,0.633982766900742
476.491884331632,0.596304587818721
540.924345884314,0.513106492148733
614.069531070393,0.439873604495103
697.105596851168,0.305871805435101
791.370013610912,0.211437763850486
898.381107928822,0.0379197459586877
1019.86251842016,-0.136005942215477
1157.77095855928,-0.381174326274575
1314.32773366327,-0.69400488209988
1492.05451968329,-1.11488911822369
1693.81398009645,-1.64208505608162
1922.85587511853,-2.29223181340745
2182.86940592338,-3.0183443897343
2478.04263698265,-3.87079649429174
2813.12995364755,-4.89601054175622
3193.52864151889,-6.03917397836565
3625.36582107691,-7.38570018510857
4115.59713783606,-8.90839957722728
4672.11879763707,-10.7647590563022
5303.8947516401,-12.9385851632053
6021.10107960072,-15.2808634875798
6835.28989702489,-17.5919156626681
7759.57542627217,-20.3813039078199
8808.84522867335,-23.1889977544821
9999.99999999995,-26.0667097162348

